chr	start	end	chromatin	G2.count	Ychrom
3R_5	0	103827	Centromere	10	other
Contig119	0	93914	Centromere	3	other
Contig79	0	70181	Centromere	5	other
Y_Contig26	0	139957	Centromere	0	Y
tig00057289	0	24561	Centromere	1	other
2L_1	35000	124800	Euchromatin	0	other
2L_1	124801	214602	Euchromatin	0	other
2L_1	214603	304403	Euchromatin	0	other
2L_1	304404	394205	Euchromatin	0	other
2L_1	394206	484007	Euchromatin	0	other
2L_1	484008	573808	Euchromatin	0	other
2L_1	573809	663610	Euchromatin	1	other
2L_1	663611	753412	Euchromatin	0	other
2L_1	753413	843213	Euchromatin	1	other
2L_1	843214	933015	Euchromatin	0	other
2L_1	933016	1022816	Euchromatin	0	other
2L_1	1022817	1112618	Euchromatin	0	other
2L_1	1112619	1202420	Euchromatin	1	other
2L_1	1202421	1292221	Euchromatin	0	other
2L_1	1292222	1382023	Euchromatin	0	other
2L_1	1382024	1471825	Euchromatin	0	other
2L_1	1471826	1561626	Euchromatin	0	other
2L_1	1561627	1651428	Euchromatin	0	other
2L_1	1651429	1741229	Euchromatin	0	other
2L_1	1741230	1831031	Euchromatin	0	other
2L_1	1831032	1920833	Euchromatin	0	other
2L_1	1920834	2010634	Euchromatin	0	other
2L_1	2010635	2100436	Euchromatin	0	other
2L_1	2100437	2190238	Euchromatin	1	other
2L_1	2190239	2280039	Euchromatin	1	other
2L_1	2280040	2369841	Euchromatin	0	other
2L_1	2369842	2459642	Euchromatin	1	other
2L_1	2459643	2549444	Euchromatin	0	other
2L_1	2549445	2639246	Euchromatin	0	other
2L_1	2639247	2729047	Euchromatin	0	other
2L_1	2729048	2818849	Euchromatin	0	other
2L_1	2818850	2908651	Euchromatin	0	other
2L_1	2908652	2998452	Euchromatin	0	other
2L_1	2998453	3088254	Euchromatin	1	other
2L_1	3088255	3178055	Euchromatin	0	other
2L_1	3178056	3267857	Euchromatin	1	other
2L_1	3267858	3357659	Euchromatin	0	other
2L_1	3357660	3447460	Euchromatin	0	other
2L_1	3447461	3537262	Euchromatin	1	other
2L_1	3537263	3627064	Euchromatin	0	other
2L_1	3627065	3716865	Euchromatin	0	other
2L_1	3716866	3806667	Euchromatin	0	other
2L_1	3806668	3896468	Euchromatin	0	other
2L_1	3896469	3986270	Euchromatin	0	other
2L_1	3986271	4076072	Euchromatin	0	other
2L_1	4076073	4165873	Euchromatin	0	other
2L_1	4165874	4255675	Euchromatin	0	other
2L_1	4255676	4345477	Euchromatin	1	other
2L_1	4345478	4435278	Euchromatin	0	other
2L_1	4435279	4525080	Euchromatin	0	other
2L_1	4525081	4614882	Euchromatin	0	other
2L_1	4614883	4704683	Euchromatin	0	other
2L_1	4704684	4794485	Euchromatin	0	other
2L_1	4794486	4884286	Euchromatin	1	other
2L_1	4884287	4974088	Euchromatin	0	other
2L_1	4974089	5063890	Euchromatin	0	other
2L_1	5063891	5153691	Euchromatin	0	other
2L_1	5153692	5243493	Euchromatin	0	other
2L_1	5243494	5333295	Euchromatin	0	other
2L_1	5333296	5423096	Euchromatin	0	other
2L_1	5423097	5512898	Euchromatin	0	other
2L_1	5512899	5602699	Euchromatin	0	other
2L_1	5602700	5692501	Euchromatin	0	other
2L_1	5692502	5782303	Euchromatin	0	other
2L_1	5782304	5872104	Euchromatin	1	other
2L_1	5872105	5961906	Euchromatin	1	other
2L_1	5961907	6051708	Euchromatin	0	other
2L_1	6051709	6141509	Euchromatin	0	other
2L_1	6141510	6231311	Euchromatin	0	other
2L_1	6231312	6321112	Euchromatin	0	other
2L_1	6321113	6410914	Euchromatin	0	other
2L_1	6410915	6500716	Euchromatin	0	other
2L_1	6500717	6590517	Euchromatin	0	other
2L_1	6590518	6680319	Euchromatin	0	other
2L_1	6680320	6770121	Euchromatin	0	other
2L_1	6770122	6859922	Euchromatin	0	other
2L_1	6859923	6949724	Euchromatin	0	other
2L_1	6949725	7039525	Euchromatin	0	other
2L_1	7039526	7129327	Euchromatin	0	other
2L_1	7129328	7219129	Euchromatin	0	other
2L_1	7219130	7308930	Euchromatin	0	other
2L_1	7308931	7398732	Euchromatin	1	other
2L_1	7398733	7488534	Euchromatin	0	other
2L_1	7488535	7578335	Euchromatin	0	other
2L_1	7578336	7668137	Euchromatin	0	other
2L_1	7668138	7757938	Euchromatin	1	other
2L_1	7757939	7847740	Euchromatin	0	other
2L_1	7847741	7937542	Euchromatin	0	other
2L_1	7937543	8027343	Euchromatin	0	other
2L_1	8027344	8117145	Euchromatin	1	other
2L_1	8117146	8206947	Euchromatin	0	other
2L_1	8206948	8296748	Euchromatin	1	other
2L_1	8296749	8386550	Euchromatin	0	other
2L_1	8386551	8476351	Euchromatin	1	other
2L_1	8476352	8566153	Euchromatin	0	other
2L_1	8566154	8655955	Euchromatin	0	other
2L_1	8655956	8745756	Euchromatin	0	other
2L_1	8745757	8835558	Euchromatin	0	other
2L_1	8835559	8925360	Euchromatin	0	other
2L_1	8925361	9015161	Euchromatin	0	other
2L_1	9015162	9104963	Euchromatin	0	other
2L_1	9104964	9194765	Euchromatin	0	other
2L_1	9194766	9284566	Euchromatin	0	other
2L_1	9284567	9374368	Euchromatin	1	other
2L_1	9374369	9464169	Euchromatin	0	other
2L_1	9464170	9553971	Euchromatin	0	other
2L_1	9553972	9643773	Euchromatin	1	other
2L_1	9643774	9733574	Euchromatin	1	other
2L_1	9733575	9823376	Euchromatin	1	other
2L_1	9823377	9913178	Euchromatin	0	other
2L_1	9913179	10002979	Euchromatin	0	other
2L_1	10002980	10092781	Euchromatin	0	other
2L_1	10092782	10182582	Euchromatin	0	other
2L_1	10182583	10272384	Euchromatin	0	other
